Categoria: Todas as categorias

Semana,Coronavirus: (Mundo)
2020-10-11,88
2020-10-18,91
2020-10-25,100
2020-11-01,81
2020-11-08,83
2020-11-15,79
2020-11-22,70
2020-11-29,68
2020-12-06,61
2020-12-13,68
2020-12-20,71
2020-12-27,71
2021-01-03,71
2021-01-10,65
2021-01-17,61
2021-01-24,57
2021-01-31,49
2021-02-07,48
2021-02-14,46
2021-02-21,46
2021-02-28,46
2021-03-07,44
2021-03-14,46
2021-03-21,49
2021-03-28,47
2021-04-04,47
2021-04-11,48
2021-04-18,49
2021-04-25,57
2021-05-02,45
2021-05-09,41
2021-05-16,38
2021-05-23,36
2021-05-30,35
2021-06-06,30
2021-06-13,32
2021-06-20,29
2021-06-27,29
2021-07-04,29
2021-07-11,34
2021-07-18,35
2021-07-25,32
2021-08-01,32
2021-08-08,29
2021-08-15,28
2021-08-22,27
2021-08-29,26
2021-09-05,25
2021-09-12,22
2021-09-19,20
2021-09-26,19
2021-10-03,18
